"Test" "Group" "Subj" "eAP" "eML" "dAP" "dML" "dTot" "dSmth" "GT" "eTot" "test"
"205" "teoh" "W" "sw" 236.152 176.60967 151.46 243.61 310.19 69.37 "W.teoh" 412.76167 1
"206" "tech" "W" "sw" 110.000333 362.87067 152.46 252.6 318.81 110.94 "W.tech" 472.871 2
"207" "tvch" "W" "sw" 56.596333 469.66833 130.45 233.7 286.99 98.47 "W.tvch" 526.26467 3
"208" "teof" "W" "sw" 945.353333 301.28433 177.74 316.08 390 99.2 "W.teof" 1246.63767 4
"209" "tecf" "W" "sw" 462.649667 702.45267 157.87 348.14 407.05 123.72 "W.tecf" 1165.10233 5
"210" "tvcf" "W" "sw" 508.057333 478.39667 166.17 353.51 419 117.96 "W.tvcf" 986.454 6
"211" "teoh" "W" "tc" 230.524667 783.00633 191.46 248.95 345.08 121.71 "W.teoh" 1013.531 1
"212" "tech" "W" "tc" 512.572 4082.64067 208.33 316.37 413.41 282.72 "W.tech" 4595.21267 2
"213" "tvch" "W" "tc" 4063.796667 3129.79367 282.55 311.68 468.89 263.05 "W.tvch" 7193.59033 3
"214" "teof" "W" "tc" 1995.325 3705.175 235.27 297.84 421.38 230.28 "W.teof" 5700.5 4
"215" "tecf" "W" "tc" 1872.835 4193.54367 256.95 377.17 502.42 335.51 "W.tecf" 6066.37867 5
"216" "tvcf" "W" "tc" 2426.171667 8525.944 303.07 464.07 604.19 419.4 "W.tvcf" 10952.11567 6
"217" "teoh" "N" "th" 64.516667 94.277 334.47 433.36 605.11 44.76 "N.teoh" 158.79367 1
"218" "tech" "N" "th" 63.799333 167.30067 354.77 446.11 626.28 64.04 "N.tech" 231.1 2
"219" "tvch" "N" "th" 104.374667 116.174 322.16 450.11 612.69 82.1 "N.tvch" 220.54867 3
"220" "teof" "N" "th" 185.100667 461.22133 344.77 421.94 605.36 104.53 "N.teof" 646.322 4
"221" "tecf" "N" "th" 682.455667 197.37467 377.6 489.2 681.9 122.28 "N.tecf" 879.83033 5
"222" "tvcf" "N" "th" 659.802333 589.224 342.04 466.55 637.9 118.24 "N.tvcf" 1249.02633 6
"223" "teoh" "N" "tr" 113.347667 27.11233 251.66 267.81 405.99 32.06 "N.teoh" 140.46 1
"224" "tech" "N" "tr" 61.807667 114.96133 247.79 270.96 403.95 41.28 "N.tech" 176.769 2
"225" "tvch" "N" "tr" 422.616667 151.62167 257.21 296.5 432.43 53.17 "N.tvch" 574.23833 3
"226" "teof" "N" "tr" 929.877 397.811 309.04 318.65 491.87 125.78 "N.teof" 1327.688 4
"227" "tecf" "N" "tr" 859.882 817.54067 336.79 353.09 539.41 185.3 "N.tecf" 1677.42267 5
"228" "tvcf" "N" "tr" 540.268667 271.726 278.78 335.64 481.05 93.3 "N.tvcf" 811.99467 6
"229" "teoh" "N" "wa" 74.326333 295.68867 375.95 504.93 693.25 94.95 "N.teoh" 370.015 1
"230" "tech" "N" "wa" 105.483333 366.79267 358.37 485.06 666.23 76.77 "N.tech" 472.276 2
"231" "tvch" "N" "wa" 172.689 318.202 392.41 541.4 734.45 111.62 "N.tvch" 490.891 3
"232" "teof" "N" "wa" 578.928 613.687 373.48 454.53 650.02 151.95 "N.teof" 1192.615 4
"233" "tecf" "N" "wa" 214.333 260.64167 409.67 521.71 735.34 128.54 "N.tecf" 474.97467 5
"234" "tvcf" "N" "wa" 395.316 660.77467 432.95 543.06 767.59 107.37 "N.tvcf" 1056.09067 6
"235" "teoh" "N" "wn" 161.640333 212.58667 280.69 354.59 498.8 63.32 "N.teoh" 374.227 1
"236" "tech" "N" "wn" 63.387 110.34767 279.81 355.71 498.87 65.03 "N.tech" 173.73467 2
"237" "tvch" "N" "wn" 36.127333 78.72233 274.84 352.25 493.36 41.28 "N.tvch" 114.84967 3
"238" "teof" "N" "wn" 1059.519 1198.85867 291.54 365.32 516.66 137.42 "N.teof" 2258.37767 4
"239" "tecf" "N" "wn" 875.821 890.88233 313.67 405.59 565.71 223.76 "N.tecf" 1766.70333 5
"240" "tvcf" "N" "wn" 179.381333 401.639 273.69 364.89 500.51 101.9 "N.tvcf" 581.02033 6
